Date,temp,humidity,precip,windspeed,heat_index,conditions
2024-03-28,29.7,40.9,0.0,14.8,146.3552252,Partially cloudy
2024-03-29,28.8,51.4,0.4,16.6,167.7077041,"Rain, Partially cloudy"
2024-03-30,29.5,46.1,0.3,14.8,156.6510216,"Rain, Partially cloudy"
2024-03-31,28.8,44.4,0.0,22.3,156.2774386,Clear
2024-04-01,-40.0,49.2,0.0,16.6,179.5181902,Partially cloudy
2024-04-02,26.2,36.0,0.0,18.4,146.2907534,Partially cloudy
2024-04-03,28.2,34.2,0.0,11.2,135.6845757,Partially cloudy
2024-04-04,29.7,31.3,0.0,14.8,124.3121439,Partially cloudy
2024-04-05,29.8,30.8,0.0,17.0,122.7731039,Partially cloudy
2024-04-06,28.6,29.2,0.0,16.6,121.1343133,Clear
2024-04-07,28.0,28.3,0.0,18.4,119.8273364,Clear
2024-04-08,28.9,28.9,92.50276342840934,17.3,119.6225977,Clear
2024-04-09,29.5,26.2,0.0,14.8,110.6262131,Partially cloudy
2024-04-10,29.6,28.5,0.0,12.7,117.0069794,Clear
2024-04-11,30.0,31.3,0.0,16.6,123.5984732,Partially cloudy
2024-04-12,30.9,31.3,0.0,9.4,121.4895068,Partially cloudy
2024-04-13,29.3,40.1,2.045,24.1,146.0492524,"Rain, Partially cloudy"
2024-04-14,26.4,57.8,0.896,16.6,187.2221912,"Rain, Partially cloudy"
2024-04-15,28.6,53.8,0.0,9.4,171.8074417,Partially cloudy
2024-04-16,29.9,38.9,0.0,20.5,141.6094776,Partially cloudy
2024-04-17,29.1,28.5,0.0,20.5,118.0592055,Partially cloudy
2024-04-18,31.0,25.9,0.0,20.5,107.088424,Partially cloudy
2024-04-19,32.5,32.0,0.0,14.8,119.4606068,Partially cloudy
2024-04-20,30.9,36.2,0.0,18.4,132.8671001,Clear
2024-04-21,31.0,33.7,0.0,20.5,126.988729,Partially cloudy
2024-04-22,31.0,31.8,0.0,18.4,122.4807937,Partially cloudy
2024-04-23,29.2,40.5,3.195,27.6,147.2110639,"Rain, Partially cloudy"
2024-04-24,29.6,41.4,0.0,18.4,147.6840534,Clear
2024-04-25,31.4,31.1,0.0,20.1,119.8535378,Partially cloudy
2024-04-26,31.8,33.9,3.0,16.6,125.4127102,"Rain, Partially cloudy"
2024-04-27,31.5,37.7,0.0,18.4,134.3036857,Partially cloudy
2024-04-28,31.2,31.6,0.0,11.2,121.5264588,Partially cloudy
2024-04-29,30.9,36.0,0.0,16.6,132.4312517,Partially cloudy
2024-04-30,29.7,30.2,91.72802320640804,18.4,121.418635,Clear
2024-05-01,28.2,20.8,0.0,18.4,95.44287009,Clear
2024-05-02,28.7,25.1,0.0,20.5,108.7418178,Clear
2024-05-03,30.3,24.7,0.0,18.4,104.8303802,Partially cloudy
2024-05-04,-40.0,23.9,0.0,14.8,98.88828353,Partially cloudy
2024-05-05,33.8,24.4,0.0,14.8,98.6266569,Clear
2024-05-06,34.1,27.8,0.0,20.5,106.5045303,Clear
2024-05-07,34.2,33.1,0.0,16.6,117.9336237,Partially cloudy
2024-05-08,32.2,50.2,0.0,20.5,152.2175257,Clear
2024-05-09,31.7,48.3,0.0,20.5,151.6602018,Clear
2024-05-10,32.6,49.0,0.0,27.7,149.1963519,Partially cloudy
2024-05-11,31.8,41.4,0.17,27.7,140.4240179,"Rain, Partially cloudy"
2024-05-12,33.0,41.2,0.0,13.0,136.29329,Partially cloudy
2024-05-13,34.0,34.5,0.0,16.6,121.2225388,Partially cloudy
2024-05-14,33.8,29.9,0.0,20.5,111.9122029,Clear
2024-05-15,34.2,25.0,0.0,16.6,99.56007042,Clear
2024-05-16,35.0,29.6,0.0,13.0,108.8980708,Clear
2024-05-17,36.9,26.0,0.0,16.6,97.90014245,Clear
2024-05-18,37.1,25.9,0.0,18.4,97.39311996,Clear
2024-05-19,38.1,23.2,0.0,18.4,90.23193322,Clear
2024-05-20,37.9,23.2,0.0,18.4,90.46010374,Partially cloudy
2024-05-21,35.8,40.2,0.0,18.4,126.4529393,Partially cloudy
